canonical_smiles,standard_value
CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(COC(=O)N3CCN(C)CC3)c2cn1,3.1
Cc1ccc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(C)NC(C)C4)cc32)cc1,0.16
CC(C)n1nc(Cn2nc3ccccc3c2C(=O)NCCCO)c2ccccc21,2.4
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,0.06
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)N[C@H](C)[C@@H](O)[C@]1(C)O,2.41
O=C(OCc1cc2c(cc1Cl)OCO2)N1CCC2(CC1)C(=O)NCN2c1ccccc1,2.9
Oc1nc2c(O)ccc(CCNCCNCCCOCCc3ccccc3)c2s1,0.88
CC[C@@H](Nc1nccn(-c2cc(C(=O)NC3CC3)ccc2C)c1=O)c1ccccc1OCCN1CCCC1,2.3
CN(c1ccc(-c2cc3cnccc3cc2O)nn1)C1CC(C)(C)NC(C)(C)C1,3.07
CC(C[C@H](NC(=O)C1CCC1)c1ccccc1)N1CCC(c2nnc(CN(C)C)o2)CC1,1.1
CNC(=O)C(C(C)C)N(CC(c1ccccc1)c1ccccc1)C(=O)c1cc(C)c(=O)n(C)c1,4.9
COC[C@H](Oc1ncnc2c1cnn2-c1ncccc1Cl)C(=O)Nc1ccc(C)cn1,2.3
CCNc1cc(F)cc2c1[nH]c1ncc(-c3cncc(Cc4n[nH]c(=O)o4)c3)c(-n3ccc(C(F)(F)F)n3)c12,3.38
CC(C)(c1cc(N2CCOCC2)nc(-c2cccc3[nH]ccc23)n1)S(C)(=O)=O,2.7
CCCC(=O)c1cc(C#N)c(N2CCC(C(=O)NS(=O)(=O)Cc3ccccc3)CC2)nc1C,2.8
Cc1cc(COc2c(F)ccc(F)c2F)nc(-c2ccccn2)n1,3.1
c1ccncc1,0.27
O=[N+]([O-])c1nccn1CC(O)CN1C2C3CCC(C3)C21,1.6
OC(CCN1CCC(Cc2ccc(F)cc2)CC1)c1ccc2[nH]ncc2c1,2.02
C[C@@H]1CN2c3c(cc4c(-n5cnnc5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1,0.54
O=C(O)Cc1ccccc1Nc1cc(Cl)ccc1Cl,1.64
CNC(=O)C1(N(CC(c2ccccc2)c2ccccc2)C(=O)c2cc(C)c(=O)n(C)c2)CCC1,4.9
COc1ccc2onc(N3CCN(CCCCNC(=O)c4ccc(-n5ccnc5)cc4)CC3)c2c1,2.42
CN(C)CCc1c[nH]c2ccc(Cc3ncnn3C)cc12,-0.75
COc1cccc(-c2c[nH]c(-c3ccccc3)n2)c1,3.74
CC1=C(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)C(=O)c2ccccc2C1=O,1.89
COc1cc2[nH]c3c(c(=O)c2cc1Cl)CSCC3,1.0
CNC(=O)c1cc(C(=O)NC2CC2)cc2c1OC[C@H]2c1cccc(OC)c1,3.8
Cc1ccc(Oc2ccc3nc(COc4cccc(C(=O)O)c4)n(C)c3c2)c(C)n1,1.3
CN(C)CCc1c[nH]c2ccc(CCc3nc(N)no3)cc12,-0.4
C[C@@H]1CN2c3c(cc4c(-n5ncnc5[C@H](C)O)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1,1.3
CNC(=O)c1cc(C(=O)NC(C)C)cc(Cc2ccccc2)n1,4.3
COc1ccc(-c2c(OC)cccc2OCc2ccccn2)cc1,5.8
Cc1c(OCCNCCCF)ccc(F)c1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1CCC(=O)O,0.3
COc1ccc(-c2cc(-c3ccc(C(=O)N(C)C)cc3)cnc2N)cn1,2.1
O=C1Cc2cccc(c2)OCCCC/C=C/CCCCOc2cccc(c2)CC(=O)Nc2nnc(s2)CCCCc2nnc(s2)N1,3.85
COc1ccc(-c2cc(C(C)=O)ccc2OCc2cccnn2)cc1,4.1
COc1ccc(NC(=O)[C@H]2CN(S(C)(=O)=O)C[C@@H]2C(=O)Nc2ccc(-n3ccccc3=O)cc2F)cc1F,0.56
COc1cccc(C2Cc3nccn3C2)c1,2.0
C=CC(=O)N1CCN2c3c(cnc4cc(-c5c(O)cccc5F)c(Cl)cc34)NC(=O)[C@H]2C1,3.0
O=C(Nc1ccc2[nH]ccc2n1)c1ccc(Cl)c(F)c1,2.69
COCc1ccc(-c2ccc3nnc(C(N)=O)c(N[C@@H](C)c4nn(C)cc4C)c3c2)cn1,2.8
CC(C)(C)OC(=O)N1C[C@@H]2CC[C@H]1CN2c1ncc(OCc2ccc(S(C)(=O)=O)cc2)cn1,3.4
Cn1cc(-c2n[nH]c3cc(Cl)c(N[C@@H]4CCNC4)cc23)cn1,0.32
CS(=O)(=O)c1ccc([C@@H](C[C@H]2CCC(=O)C2)C(=O)Nc2cnccn2)cc1Cl,1.45
CCN(O)c1ccc(Cl)c2nc3n(c12)CCCN3c1ccc(Cl)cc1Cl,3.57
COCCOCc1nn(C)c2c1CSCc1cc(n(C)n1)CCc1cc(c3ccc(F)cc3c1)OCCCc1c(C(=O)O)n(C)c3c-2c(Cl)ccc13,2.49
Cc1nn(C)c2c1-c1cnc(N)c(c1)OCc1cc(F)ccc1C(=O)N(C)C2,2.0
COc1cccc(-n2cc3nc(-c4ccccc4C)n(CC4CCCN(C(C)C)C4)c(=O)c3n2)c1,2.5
Cc1nn2cc1CN(C)CCOCCNC(=O)c1nn(C[C@H](C)O)c3ccc(cc13)Nc1nccc-2n1,1.3
CC(=O)N1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1,2.5
CC(C)C(=O)N1N=CCC1c1ccccc1,4.4
O=c1c2c([nH]c3c(Cl)cccc13)CCCC2,2.2
COc1cc([C@@H](C)C(=O)N2CC[C@H](Nc3ccc(-c4ncccn4)c(C)n3)C2)c(F)cn1,2.6
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cc(C#N)cnc3OC)cs2)cc1,3.5
C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N(C)C,2.9
CCOc1ccc2c(c1)C(c1cc[nH]n1)=CN(C)C(=O)C2C,3.8
O=C1CCC2(CN(C(=O)N3CCC(COc4ccc(F)cc4Cl)CC3)C2)N1,2.8
C=CC(=O)N1C[C@H](CO)[C@@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)C1,2.3
C[C@@H]1CN(c2nnc(C(F)(F)F)o2)CCN1c1ncc(OCc2ccc(S(C)(=O)=O)cc2F)cn1,3.0
CN(C)c1cc(OCCc2ccc(F)cc2)ncn1,3.6
Cc1c2c(nn1-c1nnc(-c3ccc(OC(C)C)c(C#N)c3)s1)CCN(CCC(=O)O)C2,2.76
C=CCc1c(C)nc2c(-c3ccccc3)cnn2c1NCc1ccccn1,4.2
COc1ccc(-c2nnc(C(=O)N3CCC(Oc4ccc(CN5CCN(C)CC5)cc4)CC3)o2)cc1,2.5
O/N=C(/NC1CCCCC1)c1cccnc1Oc1ccccc1,3.92
COc1c(Cl)cc(C(=O)Nc2ccc(C(=O)O)cc2)cc1OC(C)C,1.0
CCC/N=C1\S/C(=C\c2ccc(O)c(C(F)(F)F)c2)C(=O)N1c1ccccc1C,3.8
CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,1.35
Cc1ccc2[nH]c(C(=O)N[C@H]3CCN(S(=O)(=O)c4ccccc4Cl)C[C@@H]3C(=O)N[C@H]3CCCNC3)cc2c1,1.9
COc1ccc(N(C(=O)c2ccccc2)C(C(=O)NC2CCCC2)c2ccccc2F)c(OC)c1,3.9
O=C1C=C(NCCCCCCCCCC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,3.6
O=C(Nc1ccc(O)c(Cl)c1)Nc1nc2ccc(OC(F)(F)F)cc2s1,4.04
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCN(C(=O)COCCOCCOCCOCCOc2cc3nccc(Nc4ccc5scnc5c4)c3cc2S(=O)(=O)C(C)(C)C)CC1,4.5
Cc1cccc(Cl)c1N(CC1CC1)C1=NCCN1,-0.99
S=c1[nH]c(CCc2ccccc2)no1,-0.25
CN(c1ccc(-c2ccc(-c3cn[nH]c3)cc2O)nn1)C1CC(C)(C)NC(C)(C)C1,2.92
COc1ccc2ncc(=O)n(CCN3CC[C@@H](NCc4cc5c(cn4)OCCO5)[C@@H](OC)C3)c2c1,0.9
Cc1cccc(C)c1-c1cccc(COc2ccc3c(c2)OCCC(C(=O)O)C3)c1,4.05
COc1cc(-c2nc(C(N)=O)c(C)nc2C)ccc1-c1ccc(CC(=O)O)cc1,0.0
CCCSc1nc(N2CCC[C@@H](Cc3nnn[nH]3)C2)ccc1C(=O)NC1CCCCC1,2.4
FC(F)(F)c1cccc(-c2nc(-c3ccccc3)c[nH]2)c1,4.54
O=S(=O)(c1ccc(F)cc1)N1CCc2[nH]c3ccccc3c2CC1,4.2
O=C1N[C@H](c2ccccc2)C(=O)N1c1ccc(F)c(C(F)F)c1,3.5
CCN(C)C(=O)Oc1ccc2c(c1)N(Cc1ccccc1)/C(=C/C(C)=O)S2,3.0
O=C1O[C@]2(CC[C@H](C(=O)Nc3ncc(-c4ccccc4CF)cn3)CC2)c2cnccc21,2.54
CC(C)N1CCC(Oc2cc3cc4n(c3cc2Br)[C@@H](C)CNC4=O)CC1,1.13
COCCN1CCN(c2cc(Nc3ncc(C)c(Nc4cccc(CO)c4)n3)cc(S(C)(=O)=O)c2)CC1,1.9
CCOc1cc(C)c(-c2cccc(CNc3ccc(OCC(=O)O)c(F)c3)c2)c(C)c1,3.04
COC[C@@H](C)Oc1nc(C2CC2)c(C(=O)N[C@H]2C3CC4CC2C[C@](O)(C4)C3)s1,2.6
CCc1nc2ccc(CN3CCN(c4ccc(C(=O)NC)nc4)CC3)cc2[nH]c1=O,2.4
Cn1c(C(=O)NC2(c3ccc(CC(=O)NS(C)(=O)=O)cc3)COC2)cc2c(Cl)c(Cl)ccc21,2.45
Cc1ncccc1-c1nc2cn(-c3cccc(OC(F)F)c3)nc2c(=O)n1C[C@H]1CCCN(C[C@H]2CCCO2)C1,2.2
Cc1ccc2c(c1)c(-c1ccnc3cc(C(F)(F)F)ccc13)c(C)n2CC(=O)O,1.8
O=C1OC(C(O)CO)C(OCCCO[N+](=O)[O-])=C1O,-0.55
c1cnn2ncc(-c3ccnc(Nc4ccnnc4)n3)c2c1,-0.6
COCC(=O)N1CCC(COc2ccc(N3CCCC3=O)cc2)C1,0.2
CC1(COc2cc(F)c(C(=O)NS(=O)(=O)C3CC3)cc2C2CC2)CCC(F)(F)CC1,1.4
Nc1ccc(Cn2c(=O)[nH]c3c(N)nc(C(F)(F)F)cc32)cn1,1.5
